Tags,Platform,Avatar,Channel Name,Channel Url,Location,Subscribers Count,Video count,Description,joined,Views,Email,3 Latest Videos Url,3 Latest Videos Title,3 Latest videos image
Entertainment,Youtube,https://yt3.googleusercontent.com/ytc/AGIKgqOJbnRBqrdla4BoVCLzy1bfI4jWVVbn7m222uFfoA=s176-c-k-c0x00ffffff-no-rj,MrGear,https://www.youtube.com/channel/UCo6DJdltbIub80bLiyJRv3w/about,Indonesia,11.7M subscribers,872,"Description
For business inquiries and sponsorships contact: mrgear@delkatalents.com
For other inquiries contact: mrgearofficial@gmail.com","Jun 17, 2015","3,269,299,556 views",,"['https://www.youtube.com/watch?v=bhjnsV71MT4', 'https://www.youtube.com/watch?v=ZzlWu238uTg', None]","[""Burger Challenge -- Which burger will the maggots eat faster: MacDonald's VS Burger King? by MrGear 4 days ago 2 minutes, 18 seconds 7,493 views"", 'Experiment: How many balloons will Burst by Elephant toothpaste reaction? by MrGear 10 days ago 2 minutes, 21 seconds 6,086 views', 'Experiment: Domino Reaction Coca-Cola vs Mentos & Giant Balloons by MrGear 2 weeks ago 3 minutes, 22 seconds 4,876 views']","['https://i.ytimg.com/vi/bhjnsV71MT4/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDnXBXjOO5SF8Ovni-CoEiOLGC2EQ', 'https://i.ytimg.com/vi/ZzlWu238uTg/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBblDyXnMHl_ZM4Fb3JboaRg5QDlw', 'https://i.ytimg.com/vi/w-WYxggP6eU/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAu5pp7yUHIJ_u_kyV2IZi1bQGa7w']"
Music,Youtube,https://yt3.googleusercontent.com/ytc/AGIKgqMWwZm-4iYwGtweBB7uXvgu-JjSS4iyA3A969S86g=s176-c-k-c0x00ffffff-no-rj,twenty one pilots,https://www.youtube.com/channel/UCBQZwaNPFfJ1gZ1fLZpAEGw/about,United States,13.1M subscribers,188,"Description
welcome to the official twenty one pilots YouTube channel. 


stay strong. live on. pass on these songs.


subscribe for more official content from twenty one pilots: https://top.lnk.to/subscribe","Sep 5, 2009","5,123,204,520 views",,"['https://www.youtube.com/watch?v=_uQQF7S6DII', 'https://www.youtube.com/watch?v=VMBwvoQPiyY', None]","['Twenty One Pilots - Car Radio / Heathens (MTV Unplugged) [Official Audio] by twenty one pilots 6 days ago 5 minutes, 33 seconds 78,219 views', 'Twenty One Pilots - Ride / Nico And The Niners (MTV Unplugged) [Official Audio] by twenty one pilots 6 days ago 4 minutes, 1 second 74,837 views', 'Twenty One Pilots - House Of Gold / Lane Boy (MTV Unplugged) [Official Audio] by twenty one pilots 6 days ago 6 minutes, 55 seconds 68,124 views']","['https://i.ytimg.com/vi/_uQQF7S6DII/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAv2_TSwgoZJV8skqGPMEZCWUftdg', 'https://i.ytimg.com/vi/VMBwvoQPiyY/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBUWDFyTvOxdk36FtpbQWTxm0B_oQ', 'https://i.ytimg.com/vi/W_ko8aq3df4/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDo6zm0tW77JeH84w_jH0LzrNBRtA']"
Gaming,Youtube,https://yt3.googleusercontent.com/ytc/AGIKgqOcPzZnZlqK9nF-JXAofYYBSGimT1xCZQzN7UI_QQ=s176-c-k-c0x00ffffff-no-rj,Preston,https://www.youtube.com/channel/UC70Dib4MvFfT1tU6MqeyHpQ/about,United States,23.6M subscribers,3.9K,"Description
Hi, I��m Preston! I love me some Jesus and play video games for a living.

If you��re a fan and want to talk to me, join the Fire Nation Discord (discord.gg/Preston) or hit me up on Twitter, @Preston!

Please send all business inquiries to: partnerships@tbnr.work.","Jul 4, 2012","7,910,168,954 views",,"['https://www.youtube.com/watch?v=cncPtF9JkI8', 'https://www.youtube.com/watch?v=8MgDneahWU0', None]","['Escaping 1,000 Layers of CRAYON! by Preston 4 days ago 11 minutes, 41 seconds 1,646,207 views', '50 Kids vs 50 Adults Hide and Seek for $100,000 by Preston 11 days ago 18 minutes 1,477,684 views', 'Going Back to SCHOOL for 24 Hours! by Preston 3 weeks ago 12 minutes, 45 seconds 1,563,635 views']","['https://i.ytimg.com/vi/cncPtF9JkI8/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLD2gfKt6brpEed_uwgDSHLZ77gFng', 'https://i.ytimg.com/vi/8MgDneahWU0/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBdunk4P0tWJ8NRCRDtl0HEzWjN1g', 'https://i.ytimg.com/vi/phzIcTIN8_s/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLA-mXBxyxlCTc2yq4rfNzzT2kLhIA']"
People & Blogs,Youtube,https://yt3.googleusercontent.com/ytc/AGIKgqN3d3WL3bCUrIZQisDreEpgFfQ4iXy2zOKUeDGsVA=s176-c-k-c0x00ffffff-no-rj,FROST,https://www.youtube.com/channel/UC9diVCDUnRAB3buT1vLn4-w/about,Russia,9.41M subscribers,1.8K,"Description
���֧ݧѧ� ���������� ���������������� ���ݧڧ� �էݧ� ��֧ҧ� !)","Oct 2, 2012","3,481,907,021 views",,"['https://www.youtube.com/watch?v=XBvMDismrm0', 'https://www.youtube.com/watch?v=g_VwsAwmWtk', None]","['������������ ���������� - ������ ���������������������� �� GPS by FROST 3 days ago 51 minutes 155,639 views', '�������������� ������ ���������������� ������ ��� ���������������� by FROST 2 weeks ago 48 minutes 187,553 views', '������������������ �� ������ IKEA by FROST 3 weeks ago 40 minutes 309,956 views']","['https://i.ytimg.com/vi/XBvMDismrm0/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBCfUf6cPkwB4_ct0AV0xZF0p7wOg', 'https://i.ytimg.com/vi/g_VwsAwmWtk/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLC5mg-uFDC4Z6r2TfN1pDiKdzA3kw', 'https://i.ytimg.com/vi/JXcvepMv_RM/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCe9-Pdmzxykn8XiMuAYLNWZfeN6A']"
Music,Youtube,https://yt3.googleusercontent.com/ytc/AGIKgqN1E2DJdJBsqBB6FZHO4mCeOCkmsUMEEyQlzB5V6Q=s176-c-k-c0x00ffffff-no-rj,PinkVEVO,https://www.youtube.com/channel/UCXJDX1KK6t121Z9FLhu5o2A/about,,,198,"Description
P!nk on Vevo - Official Music Videos, Live Performances, Interviews and more...","May 12, 2009","6,986,544,929 views",,"['https://www.youtube.com/watch?v=sINVJ8NyeNQ', 'https://www.youtube.com/watch?v=iq639mqsx9U', None]","['P!NK - TRUSTFALL (Sebastian Perez Remix (Audio)) by PinkVEVO 3 weeks ago 3 minutes, 14 seconds 72,133 views', 'P!NK - TRUSTFALL (Drove Remix (Audio)) by PinkVEVO 3 weeks ago 3 minutes, 33 seconds 69,085 views', 'P!NK - TRUSTFALL (Live on The Graham Norton Show) ft. Yoann Bourgeois by PinkVEVO 2 months ago 4 minutes, 15 seconds 1,333,214 views']","['https://i.ytimg.com/vi/sINVJ8NyeNQ/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCrowQGDPuTD2xh2XL1Y-m7P-LAOA', 'https://i.ytimg.com/vi/iq639mqsx9U/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLC1g8pqFiF7NNMZa82u_iKPnGnNsQ', 'https://i.ytimg.com/vi/lVXhFeUTVUA/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAPoDXk5bsYq5AC7wJrZp_B817xUQ']"
Comedy,Youtube,https://yt3.googleusercontent.com/ytc/AGIKgqMCg4dTVCshdJ9MTXI7Vos2PE7LjKdOTfR2l-Eawg=s176-c-k-c0x00ffffff-no-rj,Wolfie,https://www.youtube.com/channel/UCbI2XhhZwo4NEyg3oNv2Tsw/about,United States,7.29M subscribers,356,"Description
Energetic guy making crazy videos on the Internet!
Join the family and be a part of the WolfFam: https://wolfieraps.com/

Follow me and be active:
Instagram - @wolfie
Twitter - @wolfieraps","Aug 12, 2013","1,145,996,133 views",,"['https://www.youtube.com/watch?v=4PuGb2S8D54', 'https://www.youtube.com/watch?v=nDdClz19O6M']","['I Made A GIANT Among Us Impostor then ATE it... *LIFE SIZE* by Wolfie 2 years ago 12 minutes, 2 seconds 517,178 views', ""Mixing Together 10,000 Lollipops Into One GIANT Lollipop (World's Biggest) by Wolfie 2 years ago 10 minutes, 57 seconds 391,282 views"", 'TRUTH OR DRINK w/ Girlfriend *EXPOSING EVERYTHING* by Wolfie 2 years ago 12 minutes, 3 seconds 446,998 views']","['https://i.ytimg.com/vi/4PuGb2S8D54/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLA0u8dyqI0JPOqdtwvDuQTya2xAZw', 'https://i.ytimg.com/vi/nDdClz19O6M/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCZRog0hwWUDq2ebgW1JCWMyvOw8A', 'https://i.ytimg.com/vi/ZJPmCRQD8bo/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLB73qCpVHAXntd0ueHh8t2-wLFaeg']"
Entertainment,Youtube,https://yt3.googleusercontent.com/ytc/AGIKgqM-p3QiUAKp-0W-kz20TCHBqaJafo-eie0M-kcbFnY=s176-c-k-c0x00ffffff-no-rj,KBS WORLD TV,https://www.youtube.com/channel/UC5BMQOsAB8hKUyHu9KI6yig/about,South Korea,18.8M subscribers,62K,"Description
KBS WORLD TV is a television channel for international audiences provided by the Korean Broadcasting System (KBS).
It's your premier window on Korean contents with a nonstop, 24-hour a day, 7-day a week stream of Korea's latest and most popular programs.","Jan 6, 2007","14,848,942,519 views",,"['https://www.youtube.com/watch?v=RhziRW_hWhk', 'https://www.youtube.com/watch?v=5ap26Qs3qXA', 'https://www.youtube.com/watch?v=wjSwxlMMC5k']","['(Teaser Ver.3) Oasis | KBS WORLD TV by KBS WORLD TV 15 hours ago 55 seconds 2,752 views', '(Today Highlights) April 27 THU : Woman in a Veil and more | KBS WORLD TV by KBS WORLD TV 15 hours ago 31 seconds 2,418 views', 'Text your mom 10 times more than you do now. [Dogs are incredible : EP.167-3] | KBS WORLD TV 230425 by KBS WORLD TV 19 hours ago 9 minutes, 48 seconds 1,368 views']","['https://i.ytimg.com/vi/RhziRW_hWhk/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBkIJR4i_KUXxUwo--Eq3yHl4soYg', 'https://i.ytimg.com/vi/5ap26Qs3qXA/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBmPpSiLamEweofWrJKu8NSjQEnrA', 'https://i.ytimg.com/vi/wjSwxlMMC5k/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBousMUzvACtYrpSpJLtpjoj937tw']"
Comedy,Youtube,https://yt3.googleusercontent.com/r0-3VbVeHXacTjDi6VwkLA7HYDqnooU4ys2UZzEVWiVP34NZHKH2NPmW-S-l_l4ZcCrx4y2rQfg=s176-c-k-c0x00ffffff-no-rj,AlishaMarie,https://www.youtube.com/channel/UCSReacwdlGHHyTIyuROhVdQ/about,United States,8M subscribers,188,"Description
i do that thing called ~iNfLuEnCiNg~","Apr 19, 2008","509,415,497 views",,"['https://www.youtube.com/watch?v=vbU-CDD4HKw', 'https://www.youtube.com/watch?v=UK86x3JSckY', None]","['PREPPING FOR COACHELLA 2023!!! by AlishaMarie 11 days ago 8 minutes, 56 seconds 336,489 views', 'REACTING to DELETED Milaurisha Videos!! ft. LaurDIY + Mia Sayoko!! by AlishaMarie 4 months ago 17 minutes 465,197 views', 'BLACK FRIDAY HAUL 2022: SKIMS, Aritzia, Good American, House of CB + More!! by AlishaMarie 5 months ago 14 minutes, 52 seconds 528,117 views']","['https://i.ytimg.com/vi/vbU-CDD4HKw/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCyZgDhEAIsj-wcP_8XXSoLYw9ssA', 'https://i.ytimg.com/vi/UK86x3JSckY/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDzQHvkMmMMxLxUGAMWrcJL5HriAA', 'https://i.ytimg.com/vi/xb2kr0PW6K4/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAQYlHzeIV7TGd1v7jhhphPfCacoQ']"
Sports,Youtube,https://yt3.googleusercontent.com/ytc/AGIKgqM-UOcxNur0YpKxqeot7o9wSxrgHVwkDbt3EEVu_w=s176-c-k-c0x00ffffff-no-rj,Red Bull,https://www.youtube.com/channel/UCblfuW_4rakIf2h6aqANefA/about,Austria,11.4M subscribers,5.8K,"Description
Experience the world of Red Bull like you have never seen it before, with the best action sport videos on YouTube.

You can watch plenty more on http://redbull.com ","Sep 23, 2006","3,556,651,383 views",,"['https://www.youtube.com/watch?v=xl7tkAM4l5Y', 'https://www.youtube.com/watch?v=B-brmk1ua1g', None]","['Start LAST, Finish 1st?! 100 Amateurs Vs Pro Mountain Bikers by Red Bull 1 day ago 8 minutes, 53 seconds 88,923 views', 'Landing A Plane On A Tiny Helipad by Red Bull 1 month ago 2 minutes, 13 seconds 1,503,075 views', 'Playing The Ultimate Game Of Tag (extreme rooftop parkour) by Red Bull 4 months ago 7 minutes, 55 seconds 338,597 views']","['https://i.ytimg.com/vi/xl7tkAM4l5Y/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCWAxYWPmZ9ry6cQ1kkSQUHfpSL3A', 'https://i.ytimg.com/vi/B-brmk1ua1g/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAWAtawTnoKRHNC_-Y-6p67UsQwDQ', 'https://i.ytimg.com/vi/DQFIN-0CBlk/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLD_h6YVDN8T_Y6nYc_cUqOsVZNEOQ']"
Film and Animation,Youtube,https://yt3.googleusercontent.com/ytc/AGIKgqOZ-bSvxQCFloZ9NS5VqaspZAnN3fXFcaEUUugXCw=s176-c-k-c0x00ffffff-no-rj,How It Should Have Ended,https://www.youtube.com/channel/UCHCph-_jLba_9atyCZJPLQQ/about,United States,10.4M subscribers,449,"Description
Welcome to How it Should Have Ended!  A place for animated alternate endings to movies.  We make cartoons as fast as we can and hopefully we can make you laugh along the way.  Thanks for watching our videos and thank YOU for subscribing. 

You can find us also at http://www.howitshouldhaveended.com

Check out our new channel that's fun for the whole family!  http://www.youtube.com/HISHEKids
Help us spread the word!

Want to help support HISHE?  Buy HISHE merchandise from our DFTBA store: http://dftba.com/hishe or our TeeSpring store: https://teespring.com/stores/how-it-should-have-ended?aid=ts-boosted-rt

Please note that outside of our specific ""written by the fans"" episodes, HISHE has a long standing company policy to not accept or review unsolicited submissions of creative materials. Please do not send us your scripts, story ideas or other creative materials as we will not review them. Thank you!","Mar 6, 2007","3,207,021,575 views",,"['https://www.youtube.com/watch?v=e1xGwq9gQEs', 'https://www.youtube.com/watch?v=lQ-KvnrVrlo', None]","['How Ant-Man and the Wasp Quantumania Should Have Ended by How It Should Have Ended 6 days ago 6 minutes, 29 seconds 776,641 views', 'Super Mario Bros - HISHE Review (SPOILERS) by How It Should Have Ended 2 weeks ago 23 minutes 143,805 views', ""Super Cafe - Let's-A Go! by How It Should Have Ended 3 weeks ago 2 minutes, 53 seconds 434,316 views""]","['https://i.ytimg.com/vi/e1xGwq9gQEs/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBdG-entlSOl5kkngRE1G_dqq0cRg', 'https://i.ytimg.com/vi/lQ-KvnrVrlo/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCLRO083qyicVuN6mQw7kZYRjJOhw', 'https://i.ytimg.com/vi/GEVSNEf_Juo/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCggdkcqVyxo1aDFOxqjVyGNVXVMg']"
Music,Youtube,https://yt3.googleusercontent.com/ytc/AGIKgqMdIMCV05L4sDVykjIvRLAMUQLJw1nG1sYJrKZG=s176-c-k-c0x00ffffff-no-rj,littlemixVEVO,https://www.youtube.com/channel/UCssD3_aDYhaG44mwP53CO0w/about,,,241,"Description
Little Mix on Vevo - Official Music Videos, Live Performances, Interviews and more...","Oct 30, 2011","6,839,903,375 views",,"['https://www.youtube.com/watch?v=yuZJoFMUoh0', 'https://www.youtube.com/watch?v=zkJkccyNJl4', None]","['Little Mix - Trash (Lyric Video) by littlemixVEVO 1 year ago 2 minutes, 54 seconds 1,928,489 views', 'Little Mix - Woman Like Me (Lyric Video) ft. Nicki Minaj by littlemixVEVO 1 year ago 3 minutes, 49 seconds 239,738 views', 'Little Mix - Sweet Melody (Lyric Video) by littlemixVEVO 1 year ago 3 minutes, 33 seconds 94,345 views']","['https://i.ytimg.com/vi/yuZJoFMUoh0/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDDbXzOmBYli-E7dWGjZAz9TPkPrA', 'https://i.ytimg.com/vi/zkJkccyNJl4/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDmcrkVEEMBLE5MFdUg26ZtUCdfig', 'https://i.ytimg.com/vi/c9pJ9gU404s/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCYUw1YM9ePU2J7oLk0HxjbWqge-Q']"
People & Blogs,Youtube,https://yt3.googleusercontent.com/ytc/AGIKgqOMm0B4TN9oNifKgVwi52bp11Nl5-Ew9Ulgs2RE=s176-c-k-c0x00ffffff-no-rj,Primitive Technology,https://www.youtube.com/channel/UCAL3JXZSzSm8AlZyD3nQdBA/about,Australia,10.8M subscribers,65,"Description
Primitive technology is a hobby where you build things in the wild completely from scratch using no modern tools or materials. These are the strict rules: If you want a fire, use a fire stick - An axe, pick up a stone and shape it - A hut, build one from trees, mud, rocks etc. The challenge is seeing how far you can go without utilizing modern technology. I do not live in the wild, but enjoy building shelter, tools, and more, only utilizing natural materials. To find specific videos, visit my playlist tab for building videos focused on pyrotechnology, shelter, weapons, food & agriculture, tools & machines, and weaving & fiber.

FAQ
Q.Where is this? 
A.This is in Far North Queensland Australia.
Q.Do you live in the wild?
A.I don't live in the wild but just go into the bush to make these projects. Also I camp out here occasionally.
Q.How did you learn all this?
A.Researching books and internet plus trial and error. I'm not indigenous and have no army training.

Check out my blog below.","May 2, 2015","1,087,838,352 views",,"['https://www.youtube.com/watch?v=JsObuHO1tMA', 'https://www.youtube.com/watch?v=9irICRnszOc', None]","['Primitive Technology: Making Charcoal (3 Different Methods) by Primitive Technology 2 weeks ago 15 minutes 1,355,124 views', 'Primitive Technology: Iron Bacteria Cement (no fire/water insoluble) by Primitive Technology 1 month ago 5 minutes, 36 seconds 1,634,488 views', 'Primitive Technology: Decarburization of iron and forging experiments by Primitive Technology 2 months ago 7 minutes, 40 seconds 2,109,165 views']","['https://i.ytimg.com/vi/JsObuHO1tMA/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLACiDrVVzw5S0ZcbyVpTOpA6jQX0Q', 'https://i.ytimg.com/vi/9irICRnszOc/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDI0DUkiJQWc8ae5NvBEP7WrAwCTw', 'https://i.ytimg.com/vi/pOj4L9yp7Mc/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCWP8Uv5356EDQDX3EvX4MwNxeNSA']"
Comedy,Youtube,https://yt3.googleusercontent.com/l8CuQ4W5IJFLH6vur_w1QyXP3RWQrdjKITrnNYBuq0XxEcGNfs-XRrgZA5SWZSa-4yAwRNZy=s176-c-k-c0x00ffffff-no-rj,ExplosmEntertainment,https://www.youtube.com/channel/UCWXCrItCF6ZgXrdozUS-Idw/about,,11M subscribers,1.2K,"Description
Explosm has a new upload schedule! Update your day-planners, wall calendars and sun dials!
Comic Classics are Sundays at 12pm Eastern / 11am Central
Monday Mashups are Mondays at 12pm Eastern / 11am Central
Compilations are Wednesdays (every other week) at 12p Eastern / 11am Central
Cyanide & Happiness Shorts are Thursdays at 12pm Eastern / 11am Central

The C&H Shorts appreciate your Patreon support!
 https://www.patreon.com/cyanide_and_happiness/overview

Comics: http://www.explosm.net
Joking Hazard, our card game: http://store.explosm.net/

Meet us in person at comic conventions and our yearly Banana Bar Crawl in Dallas! Details here: http://www.explosm.net/live","Sep 4, 2009","3,772,642,169 views",,"['https://www.youtube.com/watch?v=OCDB2fpjC_4', 'https://www.youtube.com/watch?v=8poEhA0NJGg', None]","['Its All Ogre Now by ExplosmEntertainment 2 days ago 32 seconds 134,316 views', 'Cyanide & Happiness MEGA COMPILATION  - Religious Compilation! by ExplosmEntertainment 4 days ago 21 minutes 52,616 views', 'Officer Pedals by ExplosmEntertainment 6 days ago 1 minute, 10 seconds 260,420 views']","['https://i.ytimg.com/vi/OCDB2fpjC_4/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBLoL3xY6lRUcDDKUkrAZBWurdCWw', 'https://i.ytimg.com/vi/8poEhA0NJGg/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBbjM2LxwhXI55hbauomd8NWY3Mpw', 'https://i.ytimg.com/vi/LaPYSHfuiUc/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDiqhf4rQJ2nau3FNYnIbXipUkfGg']"
Music,Youtube,https://yt3.googleusercontent.com/5cEc2-d20Iy2WB8iu87gabc8VkN84TV7TNIg7lpZfWXpJWjzZFlfLPCiAwB8VhGtG1v84l-W=s176-c-k-c0x00ffffff-no-rj,Post Malone,https://www.youtube.com/channel/UCeLHszkByNZtPKcaVXOCOQQ/about,United States,25.2M subscribers,69,"Description
The official Post Malone YouTube Channel.
www.postmalone.com","Dec 15, 2011","13,931,592,590 views",,"['https://www.youtube.com/watch?v=Sk9rrM3DoFU', 'https://www.youtube.com/watch?v=IzPQ_jA00bk', None]","['Post Malone - Chemical (Official Lyric Video) by PostMaloneVEVO 12 days ago 3 minutes, 4 seconds 890,921 views', 'Post Malone - Chemical (Official Music Video) by PostMaloneVEVO 13 days ago 3 minutes, 26 seconds 7,693,105 views', 'Post Malone - Chemical (Official Audio) by PostMaloneVEVO 13 days ago 3 minutes, 4 seconds 225,219 views']","['https://i.ytimg.com/vi/Sk9rrM3DoFU/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLC10BK3PLoRjgnu1fQgJ_-03-90PA', 'https://i.ytimg.com/vi/IzPQ_jA00bk/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLD9eISxcQRWghn70hEjDJ6A4WyLRw', 'https://i.ytimg.com/vi/D2HMHH6sRBY/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBoXbKZMyqgoDi7yAMJez9Rqynk6Q']"
Entertainment,Youtube,https://yt3.googleusercontent.com/ABrlZLbVjnSrzvXcwCr7VtCX_i1jkEaDsKz-9sECszoJNcuMzbfji1ZXydHtLC5Axv7V57iz4g=s176-c-k-c0x00ffffff-no-rj,Rajshri,https://www.youtube.com/channel/UCEKWXRsfUHkan-D_ljU8Asw/about,India,32.6M subscribers,3.5K,"Description
Welcome To Rajshri's YouTube Channel, The #1 Destination for Premium Hindi Entertainment videos. Enjoy Blockbuster Hindi Movies, Scenes, Songs, TV Shows & More.
Subscribe NOW!","Mar 24, 2006","14,354,973,596 views",,"['https://www.youtube.com/watch?v=rNItwUmr3ew', 'https://www.youtube.com/watch?v=IEIa01rLIEY', None]","['Mera Ek Chhota Baccha Hai Tum Bhul Rahe Ho Kya | Sunny Leone | Nyra Banerjee | One Night Stand by Rajshri 15 hours ago 9 minutes, 12 seconds 6,852 views', 'Ishaaro Mein Keh Rahi Hu Samajh Jaao | Swara Bhasker Romantic Scene | Rajat | X: Past Is Present by Rajshri 19 hours ago 8 minutes, 45 seconds 7,893 views', 'Victory Full Hindi Movie | Harman Baweja | Amrita Rao | Anupam Kher | Superhit Cricket Movie by Rajshri 1 day ago 2 hours, 15 minutes 12,144 views']","['https://i.ytimg.com/vi/rNItwUmr3ew/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCWT-jcnwHp8Z4G5iJfRtcqNasRtQ', 'https://i.ytimg.com/vi/IEIa01rLIEY/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCGAOdoSLwpGpIdavsHUupQnqs7rw', 'https://i.ytimg.com/vi/uGLOpV8oiqs/hqdefault.jpg?sqp=-oaymwEcCNACELwBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAmmBhsg8yyyjB40KkJ7omyBrV8ow']"
